Basisschool advies,Voorkeur 1,Voorkeur 2,Voorkeur 3,Voorkeur 4,Voorkeur 5,Voorkeur 6,Voorkeur 7,Voorkeur 8,Voorkeur 9,Voorkeur 10,Voorkeur 11,Voorkeur 12,Voorkeur 13,Voorkeur 14,Voorkeur 15,Voorkeur 16,Voorkeur 17,Voorkeur 18,Voorkeur 19,Voorkeur 20,Voorkeur 21,Voorkeur 22
havo,Montessori Lyceum Amsterdam - v.a. havo,Marcanti College - vwo,Sweelinck College - v.a. vmbo-t,Montessori Lyceum Amsterdam - Gymnasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Lumion - v.a. havo,Vox College - v.a. vmbo-b,Open Schoolgemeenschap Bijlmer - v.a. vmbo-b,Comenius Lyceum Amsterdam - v.a. havo,Mundus College - vmbo-k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Pieter Nieuwland College - v.a. havo,Calvijn College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Mundus College - v.a. vmbo-b,Spinoza Lyceum - v.a. vmbo-t,Vox College - vwo,Cygnus gymnasium - vwo,Vox College - Kansrijk HAVO - vmbo-t/havo,Calandlyceum - havo/vwo,Montessori Lyceum Oostpoort - Kansrijk Kader - vmbo-b/k,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,Hervormd Lyceum Zuid - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,St. Nicolaaslyceum - v.a. havo,Montessori Lyceum Oostpoort - Kansrijk Kader - vmbo-b/k,Pieter Nieuwland College - Kansrijk VWO - havo/vwo,Vox College - vwo,Spinoza Lyceum - Kansrijk VWO - havo/vwo,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,Geert Groote College - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - v.a. vmbo-t,DENISE - Denise VWO - vwo,Sweelinck College - v.a. vmbo-t,Panta Rhei - Kansrijk Kader - vmbo-b/k,Comenius Lyceum Amsterdam - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Xplore - v.a. vmbo-t,Calandlyceum - Technasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Hervormd Lyceum West - v.a. havo,Mundus College - vmbo-t,Over-Y - havo,Vox College - vwo,Sweelinck College - Kansrijk HAVO - vmbo-t/havo,Marcanti College - vmbo-k,College De Meer - v.a. vmbo-t,Hervormd Lyceum Zuid - Universalis - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Mundus College - vmbo-k,Metis Montessori Lyceum - Technasium vwo - vwo,Ir. Lely Lyceum - v.a. vmbo-t,Spring High - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Vox College - v.a. havo,Montessori Lyceum Amsterdam - vwo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,Ir. Lely Lyceum - Technasium - v.a. vmbo-t,Bindelmeer College - v.a. vmbo-b,Gerrit van der Veen College - v.a. havo,Hervormd Lyceum West - Tweetalig - v.a. havo,Cornelius Haga Lyceum - v.a. havo,Comenius Lyceum Amsterdam - Kansrijk HAVO - vmbo-t/havo,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,Marcanti College - v.a. vmbo-t,Ir. Lely Lyceum - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Cartesius Lyceum - v.a. havo,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,Hervormd Lyceum West - v.a. vmbo-t,Spring High - v.a. vmbo-t,Calandlyceum - havo,IJburg College - v.a. vmbo-b,Gerrit van der Veen College - kunst+klas  - v.a. havo,Vinse School - v.a. vmbo-t,Metis Montessori Lyceum - Technasium vwo - vwo,IVKO - v.a. havo,IVKO - Kansrijk HAVO - vmbo-t/havo,Montessori Lyceum Amsterdam - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,St. Nicolaaslyceum - v.a. havo,Montessori Lyceum Amsterdam - vwo,Spinoza Lyceum - v.a. havo,Montessori Lyceum Oostpoort - Kansrijk HAVO - vmbo-t/havo,Het 4e Gymnasium - vwo,Geert Groote College - Kansrijk VWO - havo/vwo,Fons Vitae Lyceum - v.a. havo,Geert Groote College - vwo,Damstede - v.a. havo,Cornelius Haga Lyceum - vwo,Lumion - Kansrijk VWO - havo/vwo,Vossius Gymnasium - vwo,College De Meer - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,DENISE - Denise Havo - v.a. havo,St. Nicolaaslyceum - vwo,Montessori Lyceum Amsterdam - Gymnasium - vwo,College De Meer - Kansrijk HAVO (icm Havo de Hof) - vmbo-t/havo,Ir. Lely Lyceum - Kansrijk VWO-Technasium - havo/vwo,Wellantcollege Linnaeus - v.a. vmbo-b,Vossius Gymnasium - vwo,Bredero Mavo - Tweetalig - v.a. vmbo-t,Calandlyceum - LOOT - v.a. vmbo-t,Hervormd Lyceum Zuid - Universalis - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Lumion - v.a. havo,IVKO - Kansrijk HAVO - vmbo-t/havo,DENISE - Denise VWO - vwo,Hubertus & Berkhoff - Tweetalig - vmbo-k,Panta Rhei - v.a. vmbo-b,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,Calvijn College - v.a. vmbo-b,Spinoza Lyceum - Kansrijk VWO - havo/vwo,Pieter Nieuwland College - vwo,Hervormd Lyceum Zuid - v.a. havo,Calandlyceum - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Gerrit van der Veen College - v.a. havo,College De Meer - Kansrijk HAVO (icm Havo de Hof) - vmbo-t/havo,Hervormd Lyceum West - v.a. vmbo-t,Bernard Nieuwentijt College (Monnickendam) - v.a. havo,CSB - Kansrijk HAVO - vmbo-t/havo,Wellantcollege Sloten - v.a. vmbo-b,Alasca - vwo,Geert Groote College - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Spinoza Lyceum - v.a. havo,Spinoza Lyceum - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Spinoza20first - v.a. vmbo-t,Calandlyceum - havo/vwo,DENISE - Denise VWO - vwo,Montessori Lyceum Amsterdam - v.a. vmbo-t,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,Hervormd Lyceum West - Kansrijk VWO - havo/vwo,Calandlyceum - vwo,Lumion - v.a. vmbo-t,St. Nicolaaslyceum - Tweetalig Onderwijs - vwo,Open Schoolgemeenschap Bijlmer - vwo,SvPO Amsterdam - Kansrijk VWO - havo/vwo,Damstede - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Spinoza20first - v.a. vmbo-t,Hubertus & Berkhoff - v.a. vmbo-t,Huygens College - v.a. vmbo-b,Ignatiusgymnasium - vwo,IVKO - v.a. vmbo-t,Cartesius Lyceum - v.a. havo,Mediacollege Amsterdam - vmbo-k,Fons Vitae Lyceum - vwo,Open Schoolgemeenschap Bijlmer - vwo,Spinoza Lyceum - Muziekplus - v.a. havo,Geert Groote College - Kansrijk HAVO - vmbo-t/havo,Zuiderlicht College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Calvijn College - v.a. vmbo-b,Wellantcollege Sloten - v.a. vmbo-b,Geert Groote College - v.a. vmbo-t,Mediacollege Amsterdam - v.a. vmbo-b,Pieter Nieuwland College - vwo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,Hervormd Lyceum West - Kansrijk HAVO - vmbo-t/havo,IVKO - v.a. havo,Bindelmeer College - v.a. vmbo-b,Vox College - v.a. vmbo-b,DENISE - Denise TL - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,IVKO - v.a. havo,Marcanti College - vmbo-k,Lumion - Kansrijk VWO - havo/vwo,Berlage Lyceum - Tweetalig - v.a. vmbo-t,Calandlyceum - havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Lumion - v.a. havo,Zuiderlicht College - Talentendansklas - v.a. vmbo-b,Zuiderlicht College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Geert Groote College - Kansrijk HAVO - vmbo-t/havo,Cygnus gymnasium - vwo,Fons Vitae Lyceum - vwo,College De Meer - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Montessori Lyceum Oostpoort - v.a. havo,Bindelmeer College - Kansrijk Kader - vmbo-b/k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Gerrit van der Veen College - v.a. havo,Montessori Lyceum Oostpoort - v.a. vmbo-b,Over-Y - havo,CSB - Kansrijk HAVO - vmbo-t/havo,Hervormd Lyceum West - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Ir. Lely Lyceum - v.a. vmbo-t,Mediacollege Amsterdam - vmbo-k,Barlaeus Gymnasium - vwo,Calandlyceum - havo/vwo,Bredero Mavo - Tweetalig - v.a. vmbo-t,IJburg College - v.a. vmbo-b,Joodse Scholengemeenschap Maimonides  - v.a. vmbo-t,Over-Y - v.a. vmbo-t,Wellantcollege Sloten - vmbo-t,Lumion - Kansrijk HAVO - vmbo-t/havo,Metis Montessori Lyceum - Coderclass of Metisprofiel vwo - vwo,CSB - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Damstede - v.a. havo,Marcanti College - v.a. vmbo-b,Calandlyceum - Kansrijk HAVO - vmbo-t/havo,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,College De Meer - v.a. vmbo-t,Calandlyceum - LOOT - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Lumion - v.a. havo,SvPO Amsterdam - Kansrijk VWO - havo/vwo,Lumion - Kansrijk VWO - havo/vwo,Fons Vitae Lyceum - vwo,SvPO Amsterdam - v.a. havo,Calandlyceum - Kansrijk VWO - havo/vwo,Mediacollege Amsterdam - v.a. vmbo-b,Zuiderlicht College - v.a. vmbo-b,Berlage Lyceum - Tweetalig - v.a. vmbo-t,Vox College - v.a. vmbo-b,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Ir. Lely Lyceum - v.a. vmbo-t,Calandlyceum - vwo,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,Montessori Lyceum Amsterdam - Sluisbuurt - vwo,Hervormd Lyceum West - v.a. vmbo-t,St. Nicolaaslyceum - vwo,Cornelius Haga Lyceum - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Geert Groote College - v.a. havo,Cartesius Lyceum - Kansrijk VWO - havo/vwo,Geert Groote College - v.a. vmbo-t,Clusius College - v.a. vmbo-b,Marcanti College - vmbo-k,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. vmbo-t,Berlage Lyceum - Kansrijk VWO - Tweetalig - havo/vwo,Bredero Beroepscollege - v.a. vmbo-b,IJburg College - v.a. vmbo-t,Vox College - Kansrijk HAVO - vmbo-t/havo,DENISE - Denise TL - v.a. vmbo-t,Vox College - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Ir. Lely Lyceum - v.a. vmbo-t,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,Huygens College - v.a. vmbo-b,Panta Rhei - Kansrijk Kader - vmbo-b/k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Montessori Lyceum Amsterdam - v.a. havo,Lumion - v.a. vmbo-t,Calvijn College - Kansrijk Kader - vmbo-b/k,Fons Vitae Lyceum - v.a. havo,Vinse School - v.a. vmbo-t,Vox College - Kansrijk HAVO - vmbo-t/havo,CSB - Kansrijk VWO - havo/vwo,Marcanti College - vwo,Berlage Lyceum - Tweetalig - vwo,Calandlyceum - Kansrijk HAVO - vmbo-t/havo,Cornelius Haga Lyceum - v.a. vmbo-t,De Amsterdamse MAVO - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Spinoza20first - v.a. vmbo-t,Pieter Nieuwland College - plus - vwo,Geert Groote College - Kansrijk VWO - havo/vwo,Spinoza Lyceum - Gymnasium - vwo,Bindelmeer College - Kansrijk Kader - vmbo-b/k,College De Meer - Kansrijk HAVO (icm Havo de Hof) - vmbo-t/havo,Open Schoolgemeenschap Bijlmer - vmbo-k,Calandlyceum - vmbo-t/havo,Metis Montessori Lyceum - Coderclass of Metisprofiel vwo - vwo,Cornelius Haga Lyceum - v.a. vmbo-t,Geert Groote College - Kansrijk HAVO - vmbo-t/havo,Comenius Lyceum Amsterdam - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Lumion - v.a. havo,Montessori Lyceum Oostpoort - Kansrijk Kader - vmbo-b/k,Sweelinck College - Kansrijk HAVO - vmbo-t/havo,CSB - v.a. vmbo-t,DENISE - Denise TL - v.a. vmbo-t,Hervormd Lyceum Zuid - Kansrijk VWO - havo/vwo,Comenius Lyceum Amsterdam - Kansrijk VWO - havo/vwo,St. Nicolaaslyceum - Tweetalig Onderwijs - vwo,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Fons Vitae Lyceum - v.a. havo,Lumion - Kansrijk HAVO - vmbo-t/havo,Damstede - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Marcanti College - v.a. havo,Ir. Lely Lyceum - Kansrijk VWO-Technasium - havo/vwo,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Damstede - v.a. havo,Zuiderlicht College - Talentendansklas - v.a. vmbo-b,DENISE - Denise VWO - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Open Schoolgemeenschap Bijlmer - v.a. havo,Lumion - v.a. vmbo-t,Zuiderlicht College - v.a. vmbo-b,College De Meer - v.a. vmbo-b,St. Nicolaaslyceum - Tweetalig Onderwijs - vwo,Calandlyceum - LOOT - v.a. vmbo-t,Kiem Montessori - v.a. vmbo-t,Het Amsterdams Lyceum - vwo,Lumion - Kansrijk VWO - havo/vwo,Calandlyceum - vmbo-t,IVKO - Kansrijk HAVO - vmbo-t/havo,Open Schoolgemeenschap Bijlmer - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Gerrit van der Veen College - v.a. havo,Marcanti College - v.a. vmbo-b,Berlage Lyceum - Kansrijk VWO - Tweetalig - havo/vwo,Bernard Nieuwentijt College (Monnickendam) - v.a. havo,IJburg College - v.a. vmbo-b,Berlage Lyceum - Tweetalig - vwo,Over-Y - Kansrijk HAVO - vmbo-t/havo,Pieter Nieuwland College - v.a. havo,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,Vox College - Kansrijk VWO - havo/vwo,Gerrit van der Veen College - kunst+klas  - v.a. havo,Alasca - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Damstede - v.a. havo,Hervormd Lyceum West - Kansrijk HAVO - vmbo-t/havo,Het 4e Gymnasium - vwo,Cornelius Haga Lyceum - vwo,Calandlyceum - havo,Joodse Scholengemeenschap Maimonides  - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,De nieuwe Havo - v.a. havo,Cartesius Lyceum - vwo,Wellantcollege Linnaeus - v.a. vmbo-b,Ignatiusgymnasium - vwo,Pieter Nieuwland College - vwo,Marcanti College - vwo,IVKO - DAMU - v.a. vmbo-t,Spinoza Lyceum - Muziekplus - v.a. havo,Hervormd Lyceum Zuid - v.a. havo,Marcanti College - v.a. vmbo-t,Gerrit van der Veen College - vwo,Vossius Gymnasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Fons Vitae Lyceum - v.a. havo,College De Meer - v.a. vmbo-b,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,Montessori Lyceum Oostpoort - v.a. havo,Spinoza Lyceum - v.a. vmbo-t,Pieter Nieuwland College - v.a. havo,IJburg College - v.a. vmbo-t,Comenius Lyceum Amsterdam - v.a. vmbo-t,Alasca - v.a. havo,Hyperion Lyceum - vwo,Xplore - v.a. vmbo-t,Hervormd Lyceum Zuid - vwo,Fons Vitae Lyceum - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Gerrit van der Veen College - kunst+klas  - v.a. havo,Mundus College - vmbo-k,Vox College - vwo,Alasca - vwo,Hervormd Lyceum Zuid - Kansrijk VWO - havo/vwo,Vox College - v.a. vmbo-t,Spinoza Lyceum - Muziekplus - v.a. havo,Cburg College - Kansrijk Kader - vmbo-b/k,Clusius College - v.a. vmbo-b,Hervormd Lyceum West - v.a. havo,Amsterdams Beroepscollege Noorderlicht - vmbo-k,St. Nicolaaslyceum - vwo,SvPO Amsterdam - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,IVKO - v.a. havo,DENISE - Denise TL - v.a. vmbo-t,Mediacollege Amsterdam - vmbo-t,Metis Montessori Lyceum - Coderclass of Metisprofiel vwo - vwo,Wellantcollege Sloten - vmbo-t,Panta Rhei - Kansrijk Kader - vmbo-b/k,IJburg College - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - v.a. vmbo-t,Vox College - Kansrijk HAVO - vmbo-t/havo,Comenius Lyceum Amsterdam - vwo,Sweelinck College - Kansrijk HAVO - vmbo-t/havo,Clusius College - Kansrijk Kader - vmbo-b/k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Havo de Hof - v.a. havo,Berlage Lyceum - Tweetalig - vwo,Panta Rhei - v.a. vmbo-b,Bredero Mavo - Tweetalig - v.a. vmbo-t,CSB - Kansrijk VWO - havo/vwo,Comenius Lyceum Amsterdam - v.a. vmbo-t,Hervormd Lyceum West - Tweetalig - vwo,Cartesius Lyceum - v.a. havo,Mundus College - v.a. vmbo-b,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,Montessori Lyceum Oostpoort - v.a. vmbo-b,Geert Groote College - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Gerrit van der Veen College - v.a. havo,Montessori Lyceum Amsterdam - Gymnasium - vwo,Comenius Lyceum Amsterdam - Kansrijk VWO - havo/vwo,Vinse School - v.a. vmbo-t,Marcanti College - vwo,Bindelmeer College - v.a. vmbo-b,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,Hervormd Lyceum Zuid - vwo,Huygens College - Kansrijk Kader - vmbo-b/k,Hervormd Lyceum West - v.a. havo,Hervormd Lyceum West - v.a. vmbo-t,Fons Vitae Lyceum - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Damstede - v.a. havo,Geert Groote College - Kansrijk VWO - havo/vwo,Pieter Nieuwland College - vwo,Berlage Lyceum - Tweetalig - v.a. vmbo-t,Over-Y - Kansrijk HAVO - vmbo-t/havo,Alasca - v.a. havo,Gerrit van der Veen College - vwo,Huygens College - Kansrijk Kader - vmbo-b/k,Hubertus & Berkhoff - Tweetalig - vmbo-k,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Montessori Lyceum Oostpoort - v.a. vmbo-b,De Amsterdamse MAVO - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,IVKO - v.a. havo,Hervormd Lyceum Zuid - Universalis - vwo,Bernard Nieuwentijt College (Monnickendam) - v.a. havo,Vossius Gymnasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Comenius Lyceum Amsterdam - v.a. havo,CSB - Kansrijk HAVO - vmbo-t/havo,Cburg College - v.a. vmbo-b,Huygens College - Kansrijk Kader - vmbo-b/k,Open Schoolgemeenschap Bijlmer - vwo,Calandlyceum - Technasium - havo/vwo,Berlage Lyceum - Tweetalig - v.a. havo,Joodse Scholengemeenschap Maimonides  - v.a. vmbo-t,Vox College - v.a. vmbo-b,Comenius Lyceum Amsterdam - vwo,Bernard Nieuwentijt College (Monnickendam) - Kansrijk HAVO - vmbo-t/havo,Calandlyceum - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Fons Vitae Lyceum - v.a. havo,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,St. Nicolaaslyceum - Tweetalig Onderwijs - vwo,Bredero Mavo - Tweetalig - v.a. vmbo-t,Spinoza Lyceum - vwo,Calandlyceum - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Lumion - v.a. havo,Wellantcollege Sloten - v.a. vmbo-b,Ir. Lely Lyceum - Technasium - v.a. vmbo-t,Cornelius Haga Lyceum - v.a. vmbo-t,Calandlyceum - LOOT - v.a. vmbo-t,Damstede - vwo,Mundus College - v.a. vmbo-b,Hervormd Lyceum West - Tweetalig - v.a. havo,Hervormd Lyceum West - Kansrijk VWO - havo/vwo,Calandlyceum - vmbo-t/havo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,Spring High - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,Huygens College - v.a. vmbo-b,Berlage Lyceum - Tweetalig - v.a. vmbo-t,Mediacollege Amsterdam - vmbo-k,Cornelius Haga Lyceum - v.a. havo,Vox College - Kansrijk HAVO - vmbo-t/havo,Hervormd Lyceum Zuid - Universalis - vwo,Cburg College - Kansrijk Kader - vmbo-b/k,Lumion - Kansrijk HAVO - vmbo-t/havo,Geert Groote College - v.a. vmbo-t,College De Meer - v.a. vmbo-t,Calvijn College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Comenius Lyceum Amsterdam - v.a. havo,Calandlyceum - Technasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Damstede - v.a. havo,DENISE - Denise VWO - vwo,Cburg College - v.a. vmbo-b,Bindelmeer College - Kansrijk Kader - vmbo-b/k,Marcanti College - v.a. vmbo-t,Alasca - v.a. havo,Vossius Gymnasium - vwo,Lumion - Kansrijk HAVO - vmbo-t/havo,Calvijn College - v.a. vmbo-b,Calandlyceum - Technasium - vwo,IVKO - v.a. vmbo-t,Ir. Lely Lyceum - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,IVKO - v.a. havo,DENISE - Denise VWO - vwo,Vox College - vwo,Bindelmeer College - v.a. vmbo-b,Calandlyceum - vwo,Hubertus & Berkhoff - v.a. vmbo-b,Calandlyceum - vmbo-t/havo,Marcanti College - vmbo-k,Comenius Lyceum Amsterdam - Kansrijk HAVO - vmbo-t/havo,SvPO Amsterdam - v.a. havo,Hervormd Lyceum West - Kansrijk HAVO - vmbo-t/havo,SvPO Amsterdam - Kansrijk VWO - havo/vwo,Ir. Lely Lyceum - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Fons Vitae Lyceum - v.a. havo,Montessori Lyceum Amsterdam - vwo,Lumion - Kansrijk VWO - havo/vwo,Hervormd Lyceum West - Tweetalig - vwo,Lumion - Kansrijk HAVO - vmbo-t/havo,Barlaeus Gymnasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Zuiderlicht College - v.a. vmbo-b,Calvijn College - Kansrijk Kader - vmbo-b/k,Gerrit van der Veen College - vwo,Joodse Scholengemeenschap Maimonides  - v.a. vmbo-t,Hervormd Lyceum Zuid - v.a. havo,Zuiderlicht College - Talentendansklas - v.a. vmbo-b,Bredero Mavo - v.a. vmbo-t,Marcanti College - v.a. havo,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Barlaeus Gymnasium - vwo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Cornelius Haga Lyceum - v.a. havo,Montessori Lyceum Oostpoort - Kansrijk Kader - vmbo-b/k,Bredero Mavo - v.a. vmbo-t,IJburg College - v.a. vmbo-b,Calandlyceum - Technasium - havo/vwo,Over-Y - v.a. vmbo-t,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,Pieter Nieuwland College - v.a. havo,Fons Vitae Lyceum - vwo,Sweelinck College - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Alasca - v.a. havo,Cornelius Haga Lyceum - v.a. vmbo-t,IJburg College - v.a. vmbo-t,Marcanti College - v.a. vmbo-t,Calandlyceum - LOOT - v.a. vmbo-t,Comenius Lyceum Amsterdam - v.a. vmbo-t,Hervormd Lyceum Zuid - vwo,SvPO Amsterdam - Kansrijk VWO - havo/vwo,Hubertus & Berkhoff - v.a. vmbo-b,Spinoza Lyceum - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,Gerrit van der Veen College - vwo,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Spinoza Lyceum - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - vwo,Lumion - v.a. vmbo-t,Montessori Lyceum Oostpoort - v.a. vmbo-b,Geert Groote College - v.a. havo,Ignatiusgymnasium - vwo,Ir. Lely Lyceum - Kansrijk VWO - havo/vwo,Calandlyceum - havo/vwo,St. Nicolaaslyceum - Tweetalig Onderwijs - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
