Basisschool advies,Voorkeur 1,Voorkeur 2,Voorkeur 3,Voorkeur 4,Voorkeur 5,Voorkeur 6,Voorkeur 7,Voorkeur 8,Voorkeur 9,Voorkeur 10,Voorkeur 11,Voorkeur 12,Voorkeur 13,Voorkeur 14,Voorkeur 15,Voorkeur 16,Voorkeur 17,Voorkeur 18,Voorkeur 19,Voorkeur 20,Voorkeur 21,Voorkeur 22
havo/vwo,Spinoza Lyceum - v.a. havo,St. Nicolaaslyceum - Tweetalig Onderwijs - vwo,Havo de Hof - v.a. havo,Montessori Lyceum Oostpoort - v.a. havo,Geert Groote College - vwo,Open Schoolgemeenschap Bijlmer - v.a. vmbo-b,Vox College - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Lumion - v.a. havo,Comenius Lyceum Amsterdam - vwo,Kiem Montessori - v.a. vmbo-t,Calandlyceum - vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Damstede - v.a. havo,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,Xplore - v.a. vmbo-t,Hervormd Lyceum West - v.a. vmbo-t,Cornelius Haga Lyceum - vwo,Pieter Nieuwland College - Kansrijk VWO - havo/vwo,Sweelinck College - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Geert Groote College - v.a. havo,IJburg College - v.a. vmbo-b,Calandlyceum - vmbo-t/havo,Cburg College - Kansrijk Kader - vmbo-b/k,Spinoza Lyceum - v.a. vmbo-t,Cygnus gymnasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Montessori Lyceum Amsterdam - v.a. havo,Montessori Lyceum Oostpoort - Kansrijk Kader - vmbo-b/k,Bredero Beroepscollege - v.a. vmbo-b,Calandlyceum - Technasium - vwo,Montessori Lyceum Amsterdam - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Berlage Lyceum - Tweetalig - v.a. havo,Spinoza Lyceum - Kansrijk VWO - havo/vwo,Open Schoolgemeenschap Bijlmer - vmbo-k,Bindelmeer College - v.a. vmbo-b,Calandlyceum - Kansrijk VWO - havo/vwo,Cburg College - v.a. vmbo-b,Vox College - Kansrijk VWO - havo/vwo,Vox College - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,St. Nicolaaslyceum - v.a. havo,Spinoza Lyceum - Kansrijk VWO - havo/vwo,Ignatiusgymnasium - vwo,Marcanti College - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Alasca - v.a. havo,Mundus College - vmbo-t,Hervormd Lyceum West - v.a. vmbo-t,Pieter Nieuwland College - v.a. havo,Calvijn College - Kansrijk Kader - vmbo-b/k,Cburg College - v.a. vmbo-b,Montessori Lyceum Oostpoort - v.a. vmbo-b,Damstede - vwo,SvPO Amsterdam - v.a. havo,Vox College - vwo,IVKO - v.a. havo,Hervormd Lyceum West - Kansrijk HAVO - vmbo-t/havo,Mediacollege Amsterdam - vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,DENISE - Denise Havo - v.a. havo,Bernard Nieuwentijt College (Monnickendam) - Kansrijk HAVO - vmbo-t/havo,Spring High - v.a. vmbo-t,Huygens College - v.a. vmbo-b,Damstede - vwo,Lumion - vwo,CSB - v.a. vmbo-t,Cornelius Haga Lyceum - v.a. havo,Calandlyceum - havo/vwo,Hervormd Lyceum Zuid - vwo,Huygens College - Kansrijk Kader - vmbo-b/k,Berlage Lyceum - Tweetalig - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,Open Schoolgemeenschap Bijlmer - vmbo-k,Metis Montessori Lyceum - Technasium vwo - vwo,Berlage Lyceum - Tweetalig - v.a. vmbo-t,SvPO Amsterdam - v.a. havo,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,Geert Groote College - Kansrijk VWO - havo/vwo,Vox College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Joodse Scholengemeenschap Maimonides  - v.a. vmbo-t,Hervormd Lyceum Zuid - vwo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. vmbo-t,Lumion - vwo,Marcanti College - v.a. vmbo-t,Barlaeus Gymnasium - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Lumion - v.a. havo,Mundus College - vmbo-k,Damstede - vwo,Mediacollege Amsterdam - vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Lumion - v.a. havo,Mediacollege Amsterdam - vmbo-t,DENISE - Denise VWO - vwo,Ir. Lely Lyceum - Kansrijk VWO-Technasium - havo/vwo,Marcanti College - v.a. vmbo-t,Comenius Lyceum Amsterdam - Kansrijk HAVO - vmbo-t/havo,Hubertus & Berkhoff - Tweetalig - vmbo-k,Clusius College - Kansrijk Kader - vmbo-b/k,Montessori Lyceum Amsterdam - Sluisbuurt - vwo,Lumion - Kansrijk VWO - havo/vwo,Cartesius Lyceum - vwo,Hervormd Lyceum West - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Montessori Lyceum Amsterdam - v.a. havo,Alasca - vwo,Hervormd Lyceum Zuid - v.a. havo,Panta Rhei - Kansrijk Kader - vmbo-b/k,Bredero Mavo - Tweetalig - v.a. vmbo-t,IVKO - v.a. havo,Geert Groote College - v.a. vmbo-t,Gerrit van der Veen College - v.a. havo,Montessori Lyceum Oostpoort - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Spinoza Lyceum - v.a. havo,Geert Groote College - Kansrijk VWO - havo/vwo,Zuiderlicht College - Talentendansklas - v.a. vmbo-b,St. Nicolaaslyceum - vwo,Open Schoolgemeenschap Bijlmer - v.a. vmbo-b,Cartesius Lyceum - vwo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,Calandlyceum - vmbo-t,CSB - Kansrijk HAVO - vmbo-t/havo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,Cartesius Lyceum - Kansrijk VWO - havo/vwo,Spinoza20first - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Hervormd Lyceum West - v.a. havo,De Amsterdamse MAVO - v.a. vmbo-t,IVKO - Kansrijk HAVO - vmbo-t/havo,Metis Montessori Lyceum - Coderclass of Metisprofiel vwo - vwo,Cornelius Haga Lyceum - v.a. havo,SvPO Amsterdam - Kansrijk VWO - havo/vwo,Zuiderlicht College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Calandlyceum - Technasium - havo/vwo,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,Panta Rhei - Kansrijk Kader - vmbo-b/k,Joodse Scholengemeenschap Maimonides  - v.a. vmbo-t,Spinoza Lyceum - Muziekplus - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Damstede - v.a. havo,Cygnus gymnasium - vwo,Metis Montessori Lyceum - Technasium vwo - vwo,Geert Groote College - vwo,Spinoza Lyceum - vwo,De nieuwe Havo - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,De nieuwe Havo - v.a. havo,College De Meer - Kansrijk HAVO (icm Havo de Hof) - vmbo-t/havo,College De Meer - v.a. vmbo-t,Huygens College - v.a. vmbo-b,Cartesius Lyceum - vwo,Calandlyceum - vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Lumion - v.a. havo,Huygens College - v.a. vmbo-b,Bernard Nieuwentijt College (Monnickendam) - v.a. vmbo-t,Geert Groote College - Kansrijk VWO - havo/vwo,Het 4e Gymnasium - vwo,CSB - Kansrijk VWO - havo/vwo,Cornelius Haga Lyceum - v.a. havo,Bredero Mavo - v.a. vmbo-t,Huygens College - Kansrijk Kader - vmbo-b/k,Ir. Lely Lyceum - Technasium - v.a. vmbo-t,Spinoza Lyceum - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Damstede - v.a. havo,Marcanti College - v.a. vmbo-t,Geert Groote College - v.a. vmbo-t,Sweelinck College - v.a. vmbo-t,Calvijn College - Kansrijk Kader - vmbo-b/k,Mundus College - vmbo-k,Mundus College - vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Pieter Nieuwland College - plus - vwo,Spinoza Lyceum - Muziekplus - v.a. havo,Hervormd Lyceum West - Tweetalig - vwo,SvPO Amsterdam - v.a. havo,Hyperion Lyceum - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,Fons Vitae Lyceum - vwo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,Montessori Lyceum Oostpoort - v.a. vmbo-b,Vox College - v.a. havo,Comenius Lyceum Amsterdam - Kansrijk HAVO - vmbo-t/havo,Zuiderlicht College - v.a. vmbo-b,Spinoza20first - v.a. vmbo-t,Geert Groote College - v.a. havo,Calandlyceum - havo,Hervormd Lyceum West - v.a. havo,Hervormd Lyceum West - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Alasca - v.a. havo,IVKO - v.a. vmbo-t,DENISE - Denise TL - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - v.a. havo,Montessori Lyceum Oostpoort - v.a. havo,Berlage Lyceum - Tweetalig - vwo,Gerrit van der Veen College - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Spinoza Lyceum - v.a. havo,Sweelinck College - v.a. vmbo-t,Bredero Beroepscollege - v.a. vmbo-b,CSB - Kansrijk VWO - havo/vwo,Het Amsterdams Lyceum - vwo,Pieter Nieuwland College - plus - vwo,Mediacollege Amsterdam - Kansrijk Kader - vmbo-b/k,IVKO - DAMU - v.a. vmbo-t,Panta Rhei - v.a. vmbo-b,Comenius Lyceum Amsterdam - v.a. vmbo-t,Cburg College - Kansrijk Kader - vmbo-b/k,Mediacollege Amsterdam - vmbo-k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,St. Nicolaaslyceum - v.a. havo,Clusius College - v.a. vmbo-b,Hubertus & Berkhoff - v.a. vmbo-b,Calandlyceum - Kansrijk HAVO - vmbo-t/havo,IVKO - v.a. havo,Vox College - v.a. vmbo-t,Bindelmeer College - Kansrijk Kader - vmbo-b/k,DENISE - Denise VWO - vwo,Pieter Nieuwland College - Kansrijk VWO - havo/vwo,Hervormd Lyceum West - Kansrijk HAVO - vmbo-t/havo,Over-Y - v.a. vmbo-t,Mundus College - v.a. vmbo-b,Wellantcollege Sloten - vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Comenius Lyceum Amsterdam - v.a. havo,Het 4e Gymnasium - vwo,Calandlyceum - Kansrijk HAVO - vmbo-t/havo,Cburg College - Kansrijk Kader - vmbo-b/k,Marcanti College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Fons Vitae Lyceum - v.a. havo,Mediacollege Amsterdam - vmbo-k,Cornelius Haga Lyceum - vwo,Calvijn College - Kansrijk Kader - vmbo-b/k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Gerrit van der Veen College - kunst+klas  - v.a. havo,CSB - Kansrijk VWO - havo/vwo,Vox College - vwo,Ir. Lely Lyceum - Technasium - v.a. vmbo-t,Gerrit van der Veen College - v.a. havo,Calandlyceum - vmbo-t,Clusius College - Kansrijk Kader - vmbo-b/k,Geert Groote College - Kansrijk VWO - havo/vwo,Amsterdams Beroepscollege Noorderlicht - vmbo-k,Lumion - v.a. vmbo-t,Calandlyceum - Technasium - havo/vwo,Mediacollege Amsterdam - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Montessori Lyceum Amsterdam - v.a. havo,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,Comenius Lyceum Amsterdam - Kansrijk HAVO - vmbo-t/havo,Calvijn College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Metis Montessori Lyceum - Technasium havo/vwo - v.a. havo,Zuiderlicht College - Talentendansklas - v.a. vmbo-b,Calandlyceum - Kansrijk VWO - havo/vwo,Spinoza Lyceum - v.a. vmbo-t,Vox College - Kansrijk HAVO - vmbo-t/havo,Comenius Lyceum Amsterdam - Kansrijk VWO - havo/vwo,Cartesius Lyceum - Kansrijk VWO - havo/vwo,Vox College - v.a. vmbo-b,SvPO Amsterdam - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,CSB - v.a. vmbo-t,Mundus College - vmbo-t,Hubertus & Berkhoff - v.a. vmbo-b,Spinoza Lyceum - Gymnasium - vwo,Vinse School - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,St. Nicolaaslyceum - v.a. havo,Montessori Lyceum Amsterdam - v.a. vmbo-t,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,Berlage Lyceum - Tweetalig - v.a. vmbo-t,Mediacollege Amsterdam - Kansrijk Kader - vmbo-b/k,Ignatiusgymnasium - vwo,CSB - v.a. vmbo-t,Calandlyceum - vmbo-t/havo,Geert Groote College - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Geert Groote College - v.a. havo,Cygnus gymnasium - vwo,Cornelius Haga Lyceum - vwo,Marcanti College - vwo,Lumion - Kansrijk VWO - havo/vwo,Lumion - v.a. vmbo-t,Calandlyceum - havo,Havo de Hof - v.a. havo,Calvijn College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Fons Vitae Lyceum - v.a. havo,IVKO - v.a. vmbo-t,Vox College - v.a. vmbo-b,Lumion - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Fons Vitae Lyceum - v.a. havo,Gerrit van der Veen College - vwo,IVKO - DAMU - v.a. vmbo-t,Panta Rhei - Kansrijk Kader - vmbo-b/k,Over-Y - havo,Hervormd Lyceum West - Tweetalig - vwo,Cartesius Lyceum - Kansrijk VWO - havo/vwo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Hervormd Lyceum West - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Lumion - v.a. havo,DENISE - Denise VWO - vwo,Zuiderlicht College - Kansrijk Kader - vmbo-b/k,Ir. Lely Lyceum - Kansrijk VWO - havo/vwo,Open Schoolgemeenschap Bijlmer - v.a. vmbo-b,Barlaeus Gymnasium - vwo,Bredero Beroepscollege - v.a. vmbo-b,Hervormd Lyceum Zuid - vwo,Hervormd Lyceum West - Tweetalig - v.a. havo,Pieter Nieuwland College - vwo,Calvijn College - v.a. vmbo-b,Montessori Lyceum Amsterdam - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Spinoza Lyceum - v.a. havo,Cygnus gymnasium - vwo,Open Schoolgemeenschap Bijlmer - v.a. vmbo-b,Mediacollege Amsterdam - v.a. vmbo-b,Hubertus & Berkhoff - v.a. vmbo-t,Ir. Lely Lyceum - v.a. vmbo-t,Geert Groote College - vwo,Bernard Nieuwentijt College (Monnickendam) - Kansrijk HAVO - vmbo-t/havo,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Geert Groote College - Kansrijk HAVO - vmbo-t/havo,IVKO - v.a. vmbo-t,Calandlyceum - vmbo-t/havo,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Marcanti College - v.a. vmbo-t,Hervormd Lyceum West - Tweetalig - v.a. havo,Over-Y - havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Alasca - v.a. havo,Zuiderlicht College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Alasca - v.a. havo,IVKO - DAMU - v.a. vmbo-t,Ir. Lely Lyceum - v.a. vmbo-t,Montessori Lyceum Amsterdam - vwo,Geert Groote College - v.a. vmbo-t,Hervormd Lyceum West - v.a. havo,Barlaeus Gymnasium - vwo,Xplore - v.a. vmbo-t,Marcanti College - v.a. vmbo-b,Vox College - Kansrijk VWO - havo/vwo,Havo de Hof - v.a. havo,Vox College - Kansrijk HAVO - vmbo-t/havo,Marcanti College - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Berlage Lyceum - Tweetalig - v.a. havo,Sweelinck College - v.a. vmbo-t,Open Schoolgemeenschap Bijlmer - v.a. vmbo-b,Lumion - vwo,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,Marcanti College - v.a. havo,Berlage Lyceum - Kansrijk VWO - Tweetalig - havo/vwo,Clusius College - Kansrijk Kader - vmbo-b/k,College De Meer - v.a. vmbo-b,Calandlyceum - LOOT - v.a. vmbo-t,Fons Vitae Lyceum - v.a. havo,Vox College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Fons Vitae Lyceum - v.a. havo,Calandlyceum - vmbo-t/havo,Comenius Lyceum Amsterdam - Kansrijk HAVO - vmbo-t/havo,Panta Rhei - Kansrijk Kader - vmbo-b/k,Cartesius Lyceum - Kansrijk VWO - havo/vwo,IVKO - Kansrijk HAVO - vmbo-t/havo,Panta Rhei - v.a. vmbo-b,Montessori Lyceum Amsterdam - Sluisbuurt - vwo,Vossius Gymnasium - vwo,Ir. Lely Lyceum - v.a. vmbo-t,Montessori Lyceum Oostpoort - v.a. vmbo-b,DENISE - Denise Havo - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Hervormd Lyceum Zuid - v.a. havo,Mundus College - vmbo-k,Pieter Nieuwland College - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Spinoza Lyceum - Muziekplus - v.a. havo,Spinoza Lyceum - Kansrijk VWO - havo/vwo,Montessori Lyceum Oostpoort - v.a. havo,Joodse Scholengemeenschap Maimonides  - v.a. vmbo-t,Bernard Nieuwentijt College (Monnickendam) - Kansrijk HAVO - vmbo-t/havo,Bindelmeer College - v.a. vmbo-b,Alasca - v.a. havo,Vossius Gymnasium - vwo,College De Meer - v.a. vmbo-t,Montessori Lyceum Oostpoort - Kansrijk HAVO - vmbo-t/havo,Montessori Lyceum Oostpoort - Kansrijk Kader - vmbo-b/k,De Amsterdamse MAVO - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Fons Vitae Lyceum - v.a. havo,Mediacollege Amsterdam - v.a. vmbo-b,Open Schoolgemeenschap Bijlmer - v.a. vmbo-b,St. Nicolaaslyceum - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Pieter Nieuwland College - v.a. havo,Cornelius Haga Lyceum - vwo,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. havo,Metis Montessori Lyceum - Coderclass of Metisprofiel vwo - vwo,Hervormd Lyceum Zuid - Universalis - vwo,Calvijn College - v.a. vmbo-b,Xplore - v.a. vmbo-t,Montessori Lyceum Amsterdam - Gymnasium - vwo,Bernard Nieuwentijt College (Monnickendam) - v.a. havo,Marcanti College - vwo,IVKO - v.a. vmbo-t,Alasca - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Pieter Nieuwland College - v.a. havo,Hervormd Lyceum Zuid - Kansrijk VWO - havo/vwo,Kiem Montessori - v.a. vmbo-t,Hervormd Lyceum West - Tweetalig - vwo,Zuiderlicht College - v.a. vmbo-b,Barlaeus Gymnasium - vwo,Geert Groote College - Kansrijk HAVO - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Cartesius Lyceum - v.a. havo,Lumion - Kansrijk HAVO - vmbo-t/havo,Wellantcollege Linnaeus - v.a. vmbo-b,Cartesius Lyceum - Kansrijk VWO - havo/vwo,Cburg College - v.a. vmbo-b,Calvijn College - Kansrijk Kader - vmbo-b/k,Open Schoolgemeenschap Bijlmer - vmbo-k,Over-Y - havo,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Spinoza Lyceum - v.a. havo,Het Amsterdams Lyceum - vwo,Hubertus & Berkhoff - v.a. vmbo-t,Cartesius Lyceum - Kansrijk VWO - havo/vwo,Open Schoolgemeenschap Bijlmer - vwo,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,Bredero Beroepscollege - v.a. vmbo-b,IVKO - v.a. vmbo-t,Mediacollege Amsterdam - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Calandlyceum - havo/vwo,IJburg College - v.a. vmbo-t,Over-Y - v.a. vmbo-t,Calvijn College - v.a. vmbo-b,Montessori Lyceum Oostpoort - Kansrijk VWO - havo/vwo,Comenius Lyceum Amsterdam - vwo,Marcanti College - vmbo-k,Wellantcollege Sloten - vmbo-t,IJburg College - v.a. vmbo-b,CSB - Kansrijk HAVO - vmbo-t/havo,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,Cburg College - Kansrijk Kader - vmbo-b/k,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Calandlyceum - LOOT - v.a. vmbo-t,Comenius Lyceum Amsterdam - Kansrijk VWO - havo/vwo,Montessori Lyceum Amsterdam - Gymnasium - vwo,SvPO Amsterdam - Kansrijk VWO - havo/vwo,Panta Rhei - v.a. vmbo-b,Comenius Lyceum Amsterdam - vwo,Hervormd Lyceum West - Kansrijk HAVO - vmbo-t/havo,Damstede - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Metis Montessori Lyceum - Coderclass of Metisprofiel havo/vwo - v.a. havo,Cartesius Lyceum - vwo,Hervormd Lyceum West - Kansrijk HAVO - vmbo-t/havo,Over-Y - Kansrijk HAVO - vmbo-t/havo,Damstede - v.a. havo,Open Schoolgemeenschap Bijlmer - v.a. vmbo-t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Panta Rhei - v.a. vmbo-b,Over-Y - Kansrijk HAVO - vmbo-t/havo,IVKO - Kansrijk HAVO - vmbo-t/havo,College De Meer - v.a. vmbo-b,Montessori Lyceum Amsterdam - Sluisbuurt - v.a. vmbo-t,Montessori Lyceum Oostpoort - Kansrijk HAVO - vmbo-t/havo,Vox College - vwo,Hervormd Lyceum West - Tweetalig - v.a. havo,Zuiderlicht College - v.a. vmbo-b,SvPO Amsterdam - Kansrijk VWO - havo/vwo,Spinoza Lyceum - Muziekplus - v.a. havo,Hervormd Lyceum Zuid - vwo,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,St. Nicolaaslyceum - vwo,Wellantcollege Linnaeus - v.a. vmbo-b,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,Huygens College - Kansrijk Kader - vmbo-b/k,Berlage Lyceum - Kansrijk VWO - Tweetalig - havo/vwo,Wellantcollege Sloten - vmbo-t,De nieuwe Havo - v.a. havo,Zuiderlicht College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,Lumion - v.a. havo,Ir. Lely Lyceum - Kansrijk HAVO - vmbo-t/havo,Hubertus & Berkhoff - v.a. vmbo-b,Cburg College - v.a. vmbo-b,IVKO - v.a. havo,Bernard Nieuwentijt College (Monnickendam) - v.a. havo,Mundus College - v.a. vmbo-b,Amsterdams Beroepscollege Noorderlicht - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,SvPO Amsterdam - v.a. havo,Ir. Lely Lyceum - Kansrijk HAVO-Technasium - vmbo-t/havo,Het 4e Gymnasium - vwo,Hervormd Lyceum Zuid - vwo,Bredero Mavo - v.a. vmbo-t,Hubertus & Berkhoff - Tweetalig - vmbo-k,Hervormd Lyceum West - Tweetalig - v.a. havo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,St. Nicolaaslyceum - v.a. havo,Spring High - v.a. vmbo-t,Hervormd Lyceum West - Tweetalig - v.a. havo,College De Meer - v.a. vmbo-b,De nieuwe Havo - v.a. havo,Wellantcollege Sloten - v.a. vmbo-b,Marcanti College - vmbo-k,Gerrit van der Veen College - vwo,Spinoza Lyceum - Gymnasium - vwo,Montessori Lyceum Amsterdam - v.a. havo,CSB - Kansrijk HAVO - vmbo-t/havo,Alasca - v.a. havo,Hervormd Lyceum Zuid - Kansrijk VWO - havo/vwo,Pieter Nieuwland College - Kansrijk VWO - havo/vwo,NA,NA,NA,NA,NA,NA,NA,NA
havo/vwo,St. Nicolaaslyceum - Tweetalig Onderwijs - v.a. havo,Calvijn College - v.a. vmbo-b,Over-Y - v.a. vmbo-t,Marcanti College - v.a. havo,Mundus College - v.a. vmbo-b,Cornelius Haga Lyceum - v.a. havo,Marcanti College - v.a. vmbo-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
